date,value
1161124821,F
1124648354,A
1297828717,A
814554020,F
49527457,F
1543342649,B
167052350,D
131462058,F
363592600,B
519400850,C
540425629,A
828591675,F
1531791383,A
496745209,C
858831536,F
1142767062,A
86502177,C
1340473359,A
1329042544,B
149398711,F
914618376,C
176333922,F
977250536,F
888831709,D
1110073228,C
1152930891,A
950486102,D
552144056,B
1405047613,A
298103710,C
181646798,C
1489096674,C
1020946514,F
819193516,B
490988682,B
1437546259,A
1121611100,D
1284360325,D
1037837736,B
39784509,D
1468598694,A
236312505,A
1469724347,F
873151856,F
751324971,D
958999257,A
1541428437,D
1123974347,A
1081303147,D
662852334,A
954524218,A
1089892945,D
884979973,B
281090526,A
214909322,C
553456796,D
673042540,D
986195320,D
1171552313,F
672720026,D
589062100,F
1302291293,C
970994800,B
233265608,C
1281094747,B
1183118035,D
736727838,D
1349393704,A
602578394,C
450653196,D
207872053,F
1268311355,F
1461819086,B
540968424,D
1379989567,B
292082150,D
1382670646,F
1060915088,A
295263793,C
810659019,B
1381634049,B
1518329826,B
1274199717,A
600645208,D
592616341,A
234713264,C
784893144,B
1302029112,C
717623167,C
934598484,C
686255036,A
130532804,A
1280639916,D
1345670025,A
253331121,A
1318583454,C
196529668,F
829408173,C
1398881874,D
573100430,A
798824330,B
1000370047,C
583302629,D
1170295354,D
1398414053,A
1457858200,A
270601668,C
714253929,F
235900023,D
1390793122,B
218275251,A
662191135,D
1123099862,A
399691204,F
20233939,B
3780123,F
188446266,F
515773158,C
1408483942,A
1160132637,F
195268437,A
1283234760,A
197437077,B
436242442,A
830090443,B
1114653735,C
809279836,C
102920277,A
880287010,B
119618981,A
427804457,F
369412583,B
1480417380,D
167202685,D
1205238169,F
621638351,F
995945176,D
663736159,C
1489364796,D
75956442,B
734474360,B
1417600010,A
449977741,D
557516768,C
113646443,D
152076407,F
936283486,B
895031702,B
1185221001,F
985871567,A
1167390293,D
641055492,D
424047665,B
613268384,C
435176961,D
1126301678,F
1216734931,D
655474538,A
863942309,B
1432898412,B
1386754334,D
1002228721,D
1209198173,D
498700576,C
922102979,D
363100718,A
51755028,A
925692002,C
194120259,C
861390952,F
477633713,D
1329458278,D
617745392,D
552642507,B
11811283,A
864809488,A
927615573,B
541424903,F
949127089,A
706904721,D
1506764016,D
516702622,A
1210059828,D
1021497616,D
208383358,F
590259406,B
195169973,D
248772,B
1076298918,B
915210959,A
1160688504,D
663701190,C
99508797,B
1266632217,B
1037147182,D
570700928,F
598571557,D
1479445780,B
207442978,D
272935118,F
289398579,D
243336204,D
1239785357,F
1384554284,F
957268550,F
980450124,C
588088151,B
1043528728,B
1519063632,A
459593259,D
849819761,B
708249648,B
1335012361,A
1507334307,C
247587522,C
872217958,D
262642641,F
344873137,C
477728205,F
1366540966,F
1077470105,F
748127547,A
735509861,C
1153996811,A
933396134,B
940453029,C
907291938,D
1277500988,B
1260639276,C
1364769286,A
91734431,C
773518981,B
1064238526,D
927038070,F
406059370,B
721759510,C
62441962,D
783536448,C
152615664,B
1526508424,B
1022927424,B
213763566,A
127764590,A
1298320660,C
954421298,C
1090294883,A
469383108,A
882314893,A
179147305,D
1167555332,C
1502683482,B
1300018187,F
274687760,A
930186207,A
1447907773,D
286295824,D
1118861363,F
1547813511,C
1053650932,D
781897438,A
1481094400,D
361353953,A
1211411109,C
1052292396,D
1285455049,D
1445779351,F
249124929,C
800051212,D
640649675,F
27800987,F
315237357,B
1120063121,C
1479620286,D
94536154,F
361665148,F
596045320,B
1043106466,B
525425402,C
275032563,D
1242279924,F
221502482,B
552446366,A
1417507601,F
1269073437,F
1386594905,F
105595284,F
591843805,B
466727183,C
927158439,D
277941744,D
980433084,F
128218044,C
760241236,D
91102210,C
949058156,D
1096992425,C
1367086863,A
719161162,F
1017873697,A
1101084582,F
463593228,C
1107670700,C
957025397,F
182994147,F
288248931,F
766401908,A
1506353829,F
466525201,C
1270647498,A
404985091,A
1070975463,B
897391961,B
401716752,F
190573593,C
825770971,C
1340665287,C
1292256037,B
1530420460,A
1416162859,C
854172046,F
688988530,D
264046369,B
563531679,F
114827964,B
1479394047,C
620279514,B
1439396031,F
1439565463,F
458455305,B
1317438589,F
1111781016,F
1505911395,F
1419349541,A
876683976,F
1048045525,C
194030624,A
657649646,B
1195278533,F
550218225,F
1253756842,C
103142546,B
1186825984,C
352607964,B
548604957,C
1209039222,A
1178874896,C
715795791,B
135270827,C
834052054,C
750048452,C
257047037,F
913402028,C
786688847,F
291085878,F
316209434,F
276332481,A
665836537,A
1148136525,B
748385620,B
617881036,C
1271787371,D
1303514968,F
1326163385,D
1338458829,F
1002871437,A
316291182,F
7371842,F
310657749,D
283585382,D
903367860,F
331987041,D
1108289235,C
599643863,C
1417795838,B
54700632,D
486044325,A
179007580,A
1454766911,C
874198223,A
987870899,F
667733232,C
1529768635,B
686797074,F
149413613,B
1444732338,D
1372714220,A
1008675284,A
1318308151,B
23534624,F
355560944,A
1514476995,D
77036057,A
448789878,D
1308691206,B
276725678,A
328296900,C
121510326,D
551161893,B
904078514,C
172624764,B
866685867,D
22454380,A
5801895,A
240617255,D
134143279,A
280062756,C
317100096,F
1328758947,B
270992701,B
1012363654,D
455387578,F
166279960,C
353399724,B
856999825,B
391470068,A
888646281,C
703782,F
207700073,F
1328234356,D
1397311260,B
143512712,B
789148129,C
732437382,B
1418456691,C
335493496,C
1225593809,F
1151876019,F
832351961,B
1160874970,D
1225387580,C
178096470,A
671818457,B
73826067,A
1097799438,C
1340626694,C
233968541,F
1021596757,A
546289833,D
252499068,F
1367821107,C
973293354,D
911114737,B
433111858,C
1037119389,B
476484165,A
598667548,A
97760714,F
1062779986,F
182036257,C
1412424398,B
1052365276,B
1108703178,A
1066688924,D
116003966,C
759367926,D
808399077,F
931734715,D
828678970,B
1077386061,A
1038871370,F
953022439,D
135237353,A
1256149245,B
346372635,F
317580047,C
864290295,D
755656176,A
675069392,D
1066759039,C
1317065866,B
603763628,F
466541828,F
860679516,A
588623994,D
1172640568,D
1155212303,A
1094759537,A
399934313,D
489768116,A
840947848,A
1281101410,F
1045992885,C
116292564,D
619647308,A
593991235,B
910589981,C
893618886,F
395145849,D
1036525265,F
853994543,D
133384434,B
295128876,F
755365142,C
677051044,C
41225345,B
703592565,F
1548201672,D
674267767,D
750801589,B
346202548,C
298832942,C
662532944,C
136367459,A
1318145054,D
495947926,F
1257990982,B
315810457,D
181573587,C
1203685753,D
681022489,D
1242560380,B
1082833190,D
1465684723,B
163401047,C
152369470,B
248364503,C
1262988478,B
572684512,B
520512715,B
475227635,C
363415259,A
1351911122,D
353393692,F
425312424,B
1362436765,F
372823533,B
1399866906,F
1155892212,F
25475052,C
944292837,F
662242487,D
252531445,A
910462959,D
1168031638,F
1034080645,D
859455074,D
1181275989,F
363645940,D
1285324527,A
42288825,B
1424093570,A
1223242714,F
394605734,B
251610139,C
1245904386,C
104142931,B
1144312303,C
1238929417,F
989060625,B
208485994,F
1200101027,C
227018080,B
442342941,A
867153656,B
1281945242,C
129249556,F
